,ave_q,ave_x,ave_t,ave_p,counts
0,1.25,0.05,0.045,9.0,0
1,1.25,0.05,0.045,27.0,0
2,1.25,0.05,0.045,45.0,0
3,1.25,0.05,0.045,63.0,0
4,1.25,0.05,0.045,81.0,0
5,1.25,0.05,0.045,99.0,0
6,1.25,0.05,0.045,117.0,0
7,1.25,0.05,0.045,135.0,0
8,1.25,0.05,0.045,153.0,0
9,1.25,0.05,0.045,171.0,0
10,1.25,0.05,0.045,189.0,0
11,1.25,0.05,0.045,207.0,0
12,1.25,0.05,0.045,225.0,0
13,1.25,0.05,0.045,243.0,0
14,1.25,0.05,0.045,261.0,0
15,1.25,0.05,0.045,279.0,0
16,1.25,0.05,0.045,297.0,0
17,1.25,0.05,0.045,315.0,0
18,1.25,0.05,0.045,333.0,0
19,1.25,0.05,0.045,351.0,0
20,1.25,0.05,0.12,9.0,0
21,1.25,0.05,0.12,27.0,0
22,1.25,0.05,0.12,45.0,0
23,1.25,0.05,0.12,63.0,0
24,1.25,0.05,0.12,81.0,0
25,1.25,0.05,0.12,99.0,0
26,1.25,0.05,0.12,117.0,0
27,1.25,0.05,0.12,135.0,0
28,1.25,0.05,0.12,153.0,0
29,1.25,0.05,0.12,171.0,0
30,1.25,0.05,0.12,189.0,0
31,1.25,0.05,0.12,207.0,0
32,1.25,0.05,0.12,225.0,0
33,1.25,0.05,0.12,243.0,0
34,1.25,0.05,0.12,261.0,0
35,1.25,0.05,0.12,279.0,0
36,1.25,0.05,0.12,297.0,0
37,1.25,0.05,0.12,315.0,0
38,1.25,0.05,0.12,333.0,0
39,1.25,0.05,0.12,351.0,0
40,1.25,0.05,0.175,9.0,0
41,1.25,0.05,0.175,27.0,0
42,1.25,0.05,0.175,45.0,0
43,1.25,0.05,0.175,63.0,0
44,1.25,0.05,0.175,81.0,0
45,1.25,0.05,0.175,99.0,0
46,1.25,0.05,0.175,117.0,0
47,1.25,0.05,0.175,135.0,0
48,1.25,0.05,0.175,153.0,0
49,1.25,0.05,0.175,171.0,0
50,1.25,0.05,0.175,189.0,0
51,1.25,0.05,0.175,207.0,0
52,1.25,0.05,0.175,225.0,0
53,1.25,0.05,0.175,243.0,0
54,1.25,0.05,0.175,261.0,0
55,1.25,0.05,0.175,279.0,0
56,1.25,0.05,0.175,297.0,0
57,1.25,0.05,0.175,315.0,0
58,1.25,0.05,0.175,333.0,0
59,1.25,0.05,0.175,351.0,0
60,1.25,0.05,0.25,9.0,0
61,1.25,0.05,0.25,27.0,0
62,1.25,0.05,0.25,45.0,0
63,1.25,0.05,0.25,63.0,0
64,1.25,0.05,0.25,81.0,0
65,1.25,0.05,0.25,99.0,0
66,1.25,0.05,0.25,117.0,0
67,1.25,0.05,0.25,135.0,0
68,1.25,0.05,0.25,153.0,0
69,1.25,0.05,0.25,171.0,0
70,1.25,0.05,0.25,189.0,0
71,1.25,0.05,0.25,207.0,0
72,1.25,0.05,0.25,225.0,0
73,1.25,0.05,0.25,243.0,0
74,1.25,0.05,0.25,261.0,0
75,1.25,0.05,0.25,279.0,0
76,1.25,0.05,0.25,297.0,0
77,1.25,0.05,0.25,315.0,0
78,1.25,0.05,0.25,333.0,0
79,1.25,0.05,0.25,351.0,0
80,1.25,0.05,0.35,9.0,0
81,1.25,0.05,0.35,27.0,0
82,1.25,0.05,0.35,45.0,0
83,1.25,0.05,0.35,63.0,0
84,1.25,0.05,0.35,81.0,0
85,1.25,0.05,0.35,99.0,0
86,1.25,0.05,0.35,117.0,0
87,1.25,0.05,0.35,135.0,0
88,1.25,0.05,0.35,153.0,0
89,1.25,0.05,0.35,171.0,0
90,1.25,0.05,0.35,189.0,0
91,1.25,0.05,0.35,207.0,0
92,1.25,0.05,0.35,225.0,0
93,1.25,0.05,0.35,243.0,0
94,1.25,0.05,0.35,261.0,0
95,1.25,0.05,0.35,279.0,0
96,1.25,0.05,0.35,297.0,0
97,1.25,0.05,0.35,315.0,0
98,1.25,0.05,0.35,333.0,0
99,1.25,0.05,0.35,351.0,0
100,1.25,0.05,0.5,9.0,0
101,1.25,0.05,0.5,27.0,0
102,1.25,0.05,0.5,45.0,0
103,1.25,0.05,0.5,63.0,0
104,1.25,0.05,0.5,81.0,0
105,1.25,0.05,0.5,99.0,0
106,1.25,0.05,0.5,117.0,0
107,1.25,0.05,0.5,135.0,0
108,1.25,0.05,0.5,153.0,0
109,1.25,0.05,0.5,171.0,0
110,1.25,0.05,0.5,189.0,0
111,1.25,0.05,0.5,207.0,0
112,1.25,0.05,0.5,225.0,0
113,1.25,0.05,0.5,243.0,0
114,1.25,0.05,0.5,261.0,0
115,1.25,0.05,0.5,279.0,0
116,1.25,0.05,0.5,297.0,0
117,1.25,0.05,0.5,315.0,0
118,1.25,0.05,0.5,333.0,0
119,1.25,0.05,0.5,351.0,0
120,1.25,0.05,0.8,9.0,0
121,1.25,0.05,0.8,27.0,0
122,1.25,0.05,0.8,45.0,0
123,1.25,0.05,0.8,63.0,0
124,1.25,0.05,0.8,81.0,0
125,1.25,0.05,0.8,99.0,0
126,1.25,0.05,0.8,117.0,0
127,1.25,0.05,0.8,135.0,0
128,1.25,0.05,0.8,153.0,0
129,1.25,0.05,0.8,171.0,0
130,1.25,0.05,0.8,189.0,0
131,1.25,0.05,0.8,207.0,0
132,1.25,0.05,0.8,225.0,0
133,1.25,0.05,0.8,243.0,0
134,1.25,0.05,0.8,261.0,0
135,1.25,0.05,0.8,279.0,0
136,1.25,0.05,0.8,297.0,0
137,1.25,0.05,0.8,315.0,0
138,1.25,0.05,0.8,333.0,0
139,1.25,0.05,0.8,351.0,0
140,1.25,0.05,1.25,9.0,0
141,1.25,0.05,1.25,27.0,0
142,1.25,0.05,1.25,45.0,0
143,1.25,0.05,1.25,63.0,0
144,1.25,0.05,1.25,81.0,0
145,1.25,0.05,1.25,99.0,0
146,1.25,0.05,1.25,117.0,0
147,1.25,0.05,1.25,135.0,0
148,1.25,0.05,1.25,153.0,0
149,1.25,0.05,1.25,171.0,0
150,1.25,0.05,1.25,189.0,0
151,1.25,0.05,1.25,207.0,0
152,1.25,0.05,1.25,225.0,0
153,1.25,0.05,1.25,243.0,0
154,1.25,0.05,1.25,261.0,0
155,1.25,0.05,1.25,279.0,0
156,1.25,0.05,1.25,297.0,0
157,1.25,0.05,1.25,315.0,0
158,1.25,0.05,1.25,333.0,0
159,1.25,0.05,1.25,351.0,0
160,1.25,0.05,1.75,9.0,0
161,1.25,0.05,1.75,27.0,0
162,1.25,0.05,1.75,45.0,0
163,1.25,0.05,1.75,63.0,0
164,1.25,0.05,1.75,81.0,0
165,1.25,0.05,1.75,99.0,0
166,1.25,0.05,1.75,117.0,0
167,1.25,0.05,1.75,135.0,0
168,1.25,0.05,1.75,153.0,2
169,1.25,0.05,1.75,171.0,0
170,1.25,0.05,1.75,189.0,0
171,1.25,0.05,1.75,207.0,0
172,1.25,0.05,1.75,225.0,0
